Endpoint,Train_Accuracy_Mean,Train_Accuracy_Var,Train_AUC_Mean,Train_AUC_Var,Validate_Accuracy_Mean,Validate_Accuracy_Var,Validate_AUC_Mean,Validate_AUC_Var,Test_Accuracy_Mean,Test_Accuracy_Var,Test_AUC_Mean,Test_AUC_Var
Ames,0.7483333333333334,1.6333333333333362e-05,0.8263333333333333,2.333333333333338e-06,0.7343333333333333,0.0002123333333333337,0.82,6.299999999999912e-05,0.725,0.0013889999999999977,0.7949999999999999,0.0006790000000000012
BSEP_inhibitor,0.734,9.100000000000017e-05,0.8033333333333333,4.9333333333333426e-05,0.746,0.00030100000000000054,0.8033333333333333,0.0009053333333333311,0.7233333333333333,0.002564333333333333,0.7823333333333333,0.0020743333333333317
CLp_c,0.645,0.0005160000000000009,0.6966666666666667,0.0001423333333333325,0.6623333333333333,0.002409333333333332,0.7173333333333334,0.004608333333333335,0.6253333333333333,0.0006803333333333344,0.6943333333333334,0.0015453333333333313
CYP2C9_inhibitor,0.7763333333333334,8.333333333333349e-06,0.8376666666666667,1.3333333333333357e-06,0.7653333333333334,1.7333333333333366e-05,0.8193333333333332,6.333333333333344e-06,0.7720000000000001,4.9000000000000087e-05,0.835,6.700000000000012e-05
CYP2D6_substrate,0.802,6.10000000000001e-05,0.8806666666666666,3.233333333333339e-05,0.818,9.099999999999895e-05,0.882,1.9000000000000035e-05,0.7943333333333333,0.0009163333333333319,0.8666666666666667,0.0004923333333333342
CYP3A4_inhibitor,0.7886666666666667,3.3333333333333394e-07,0.85,3.000000000000006e-06,0.7853333333333333,1.7333333333333366e-05,0.8486666666666666,1.433333333333336e-05,0.7930000000000001,3.7000000000000066e-05,0.8516666666666666,6.333333333333345e-06
CYP3A4_substrate,0.747,3.7000000000000066e-05,0.8243333333333333,4.3333333333333415e-06,0.7426666666666667,0.0001603333333333336,0.8180000000000001,0.00046899999999999806,0.729,8.100000000000014e-05,0.8086666666666668,0.00031633333333333177
DILI,0.6423333333333333,7.233333333333346e-05,0.6789999999999999,5.7000000000000105e-05,0.6226666666666666,9.23333333333335e-05,0.6616666666666666,0.0004763333333333342,0.606,0.0008590000000000015,0.6276666666666667,0.0010223333333333352
F50,0.6703333333333333,0.00010233333333333351,0.7479999999999999,9.300000000000017e-05,0.6653333333333333,0.0016053333333333319,0.726,0.001648000000000003,0.6636666666666667,0.00037633333333333404,0.7366666666666667,0.0004343333333333341
FDAMDD_c,0.7083333333333334,0.00021233333333333371,0.7706666666666666,0.0002843333333333338,0.697,0.004636,0.7733333333333333,0.004505333333333333,0.723,0.0003490000000000006,0.7879999999999999,0.001568999999999998
Micronucleus,0.84,0.00014800000000000026,0.922,2.100000000000004e-05,0.8243333333333333,9.333333333333351e-06,0.911,0.000867999999999998,0.8213333333333335,0.0013653333333333308,0.9013333333333334,0.0011643333333333354
Neurotoxicity,0.6633333333333334,3.7333333333333405e-05,0.726,0.00024100000000000044,0.6549999999999999,0.004248999999999999,0.7229999999999999,0.0019110000000000034,0.6343333333333333,0.00010833333333333352,0.7273333333333333,0.0020763333333333315
PPB,0.7343333333333333,2.033333333333337e-05,0.8210000000000001,1.200000000000002e-05,0.726,0.0008170000000000014,0.8183333333333334,2.4333333333333377e-05,0.7413333333333334,0.0007723333333333348,0.83,0.0005890000000000011
Pgp_inhibitor,0.8303333333333333,9.33333333333335e-06,0.9013333333333334,1.6333333333333362e-05,0.7926666666666667,3.233333333333339e-05,0.8813333333333334,0.0007303333333333346,0.85,0.0002440000000000004,0.9136666666666667,0.000900333333333332
Reproductive_toxicity,0.7976666666666667,0.00010833333333333352,0.8646666666666668,5.833333333333344e-05,0.7873333333333333,0.003265333333333333,0.8443333333333335,0.0020813333333333317,0.794,0.000660999999999998,0.8620000000000001,0.00013300000000000025